shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
hkd2-2-1,41.7772229,140.7399797,57,
hkd2-2-1,41.7766183,140.7392346,58,
hkd2-2-1,41.7758774,140.7383287,59,
hkd2-2-1,41.775584,140.7379548,60,
hkd2-2-1,41.774456,140.7365478,61,
hkd2-2-1,41.7736947,140.7355462,62,
hkd2-2-1,41.7733742,140.7351888,63,
hkd2-2-1,41.7728859,140.7345571,64,
hkd2-2-1,41.7716761,140.7334238,65,
hkd2-2-1,41.7712561,140.7330161,66,
hkd2-2-1,41.7711487,140.7328555,67,
hkd2-2-1,41.771132,140.7327211,68,
hkd2-2-1,41.7716285,140.7312909,69,
hkd2-2-1,41.771961,140.7303229,70,
hkd2-2-1,41.772256,140.729471,71,
hkd2-2-1,41.77243,140.728967,72,
hkd2-2-1,41.7726764,140.7282185,73,
hkd2-2-1,41.7726744,140.7281086,74,
hkd2-2-1,41.7725984,140.7280174,75,
hkd2-2-1,41.7723401,140.7278564,76,
hkd2-2-1,41.7718237,140.7275379,77,
hkd2-2-1,41.7715602,140.7273897,78,
hkd2-2-1,41.7713415,140.7272358,79,
hkd2-2-1,41.7710097,140.7269962,80,
hkd2-2-1,41.7707872,140.7268035,81,
hkd2-2-1,41.7700739,140.7261516,82,
hkd2-2-1,41.7694095,140.7255735,83,
hkd2-2-1,41.7690416,140.7252105,84,
hkd2-2-1,41.7685,140.724699,85,
hkd2-2-1,41.7681194,140.7243452,86,
hkd2-2-1,41.7674143,140.7236157,87,
hkd2-2-1,41.7670377,140.7232735,88,
hkd2-2-1,41.7667493,140.7229634,89,
hkd2-2-1,41.7663785,140.7225293,90,
hkd2-2-1,41.7662066,140.7223233,91,
hkd2-2-1,41.7657725,140.7217519,92,
hkd2-2-1,41.7655264,140.7214542,93,
hkd2-2-1,41.7654284,140.7213335,94,
hkd2-2-1,41.7652443,140.7210868,95,
hkd2-2-1,41.7649942,140.7206522,96,
hkd2-2-1,41.7649071,140.7204788,97,
hkd2-2-1,41.7647852,140.7202352,98,
hkd2-2-1,41.7646011,140.7198784,99,
hkd2-2-1,41.7643911,140.719405,100,
hkd2-2-1,41.764346,140.7193125,101,
hkd2-2-1,41.7642219,140.7189297,102,
hkd2-2-1,41.764125,140.7186339,103,
hkd2-2-1,41.7640895,140.7185064,104,
hkd2-2-1,41.7640569,140.7184395,105,
hkd2-2-1,41.7640117,140.7183878,106,
hkd2-2-1,41.7639344,140.7183355,107,
hkd2-2-1,41.7638962,140.7183286,108,
hkd2-2-1,41.7638577,140.7183286,109,
hkd2-2-1,41.7638188,140.7183388,110,
hkd2-2-1,41.7634251,140.7185539,111,
hkd2-2-1,41.763233,140.7186723,112,
hkd2-2-1,41.7623654,140.7191707,113,
hkd2-2-1,41.7615321,140.7196501,114,
hkd2-2-1,41.7613485,140.7197564,115,
hkd2-2-1,41.761088,140.7199011,116,
hkd2-2-1,41.7609487,140.7199836,117,
hkd2-2-1,41.7608101,140.7200789,118,
hkd2-2-1,41.760754,140.7201132,119,
hkd2-2-1,41.7605829,140.7202234,120,
hkd2-2-1,41.7600888,140.720582,121,
hkd2-2-1,41.759795,140.7208053,122,
hkd2-2-1,41.7597329,140.720853,123,
hkd2-2-1,41.759666,140.7208838,124,
hkd2-2-1,41.7595911,140.7209027,125,
hkd2-2-1,41.7595355,140.7209072,126,
hkd2-2-1,41.7594778,140.7208973,127,
hkd2-2-1,41.7593518,140.7208664,128,
hkd2-2-1,41.7591617,140.7208061,129,
hkd2-2-1,41.7589416,140.7207363,130,
hkd2-2-1,41.7586264,140.7206318,131,
hkd2-2-1,41.7584895,140.720578,132,
hkd2-2-1,41.7583719,140.7205286,133,
hkd2-2-1,41.7582959,140.7204754,134,
hkd2-2-1,41.758206,140.7203884,135,
hkd2-2-1,41.758115,140.7202958,136,
hkd2-2-1,41.7579309,140.7200907,137,
hkd2-2-1,41.7576316,140.719738,138,
hkd2-2-1,41.7573196,140.7193799,139,
hkd2-2-1,41.75649,140.7184772,140,
hkd2-2-1,41.7563483,140.7183169,141,
hkd2-2-1,41.7553678,140.7172266,142,
hkd2-2-1,41.7552976,140.7171642,143,
hkd2-2-1,41.7552349,140.7171241,144,
hkd2-2-1,41.755164,140.7170912,145,
hkd2-2-1,41.7548223,140.7169703,146,
hkd2-2-1,41.7532839,140.7164055,147,
hkd2-2-1,41.7531235,140.7163512,148,
hkd2-0-0,41.784195,140.77652,0,
hkd2-0-0,41.783986,140.777164,1,
hkd2-0-0,41.7838135,140.7777062,2,
hkd2-0-0,41.7836398,140.7782502,3,
hkd2-0-0,41.7833704,140.7789702,4,
hkd2-0-0,41.7830506,140.7796692,5,
hkd2-0-0,41.782646,140.7805659,6,
hkd2-0-0,41.782462,140.7810246,7,
hkd2-0-0,41.782215,140.781701,8,
hkd2-0-0,41.782112,140.781954,9,
hkd2-0-0,41.781889,140.782491,10,
hkd2-0-0,41.7816556,140.78304,11,
hkd2-0-0,41.781353,140.783486,12,
hkd2-0-0,41.781068,140.783917,13,
hkd2-0-0,41.780789,140.784235,14,
hkd2-0-0,41.780482,140.784527,15,
hkd2-0-0,41.780244,140.7848,16,
hkd2-0-0,41.7800129,140.785184,17,
hkd2-0-0,41.7799223,140.7853568,18,
hkd2-0-0,41.7798359,140.7854996,19,
hkd2-0-0,41.779787,140.78567,20,
hkd2-0-0,41.7797147,140.7860479,21,
hkd2-0-0,41.7797093,140.7861749,22,
hkd2-0-0,41.779783,140.7864249,23,
hkd2-0-0,41.7799074,140.7867425,24,
hkd2-0-0,41.7800439,140.7871387,25,
hkd2-0-0,41.7802871,140.7879339,26,
hkd2-0-0,41.7804991,140.7885016,27,
hkd2-0-0,41.780659,140.788861,28,
hkd2-0-0,41.780763,140.789102,29,
hkd2-0-0,41.780892,140.789352,30,
hkd2-0-0,41.781047,140.789729,31,
hkd2-0-0,41.7811016,140.7901218,32,
hkd2-0-0,41.7811484,140.7905976,33,
hkd2-1-0,41.7531235,140.7163512,0,
hkd2-1-0,41.7532839,140.7164055,1,
hkd2-1-0,41.7548223,140.7169703,2,
hkd2-1-0,41.755164,140.7170912,3,
hkd2-1-0,41.7552349,140.7171241,4,
hkd2-1-0,41.7552976,140.7171642,5,
hkd2-1-0,41.7553678,140.7172266,6,
hkd2-1-0,41.7563483,140.7183169,7,
hkd2-1-0,41.75649,140.7184772,8,
hkd2-1-0,41.7573196,140.7193799,9,
hkd2-1-0,41.7576316,140.719738,10,
hkd2-1-0,41.7579309,140.7200907,11,
hkd2-1-0,41.758115,140.7202958,12,
hkd2-1-0,41.758206,140.7203884,13,
hkd2-1-0,41.7582959,140.7204754,14,
hkd2-1-0,41.7583719,140.7205286,15,
hkd2-1-0,41.7584895,140.720578,16,
hkd2-1-0,41.7586264,140.7206318,17,
hkd2-1-0,41.7589416,140.7207363,18,
hkd2-1-0,41.7591617,140.7208061,19,
hkd2-1-0,41.7593518,140.7208664,20,
hkd2-1-0,41.7594778,140.7208973,21,
hkd2-1-0,41.7595355,140.7209072,22,
hkd2-1-0,41.7595911,140.7209027,23,
hkd2-1-0,41.759666,140.7208838,24,
hkd2-1-0,41.7597329,140.720853,25,
hkd2-1-0,41.759795,140.7208053,26,
hkd2-1-0,41.7600888,140.720582,27,
hkd2-1-0,41.7605829,140.7202234,28,
hkd2-1-0,41.760754,140.7201132,29,
hkd2-1-0,41.7608101,140.7200789,30,
hkd2-1-0,41.7609487,140.7199836,31,
hkd2-1-0,41.761088,140.7199011,32,
hkd2-1-0,41.7613485,140.7197564,33,
hkd2-1-0,41.7615321,140.7196501,34,
hkd2-1-0,41.7623654,140.7191707,35,
hkd2-1-0,41.763233,140.7186723,36,
hkd2-1-0,41.7634251,140.7185539,37,
hkd2-1-0,41.7638188,140.7183388,38,
hkd2-1-0,41.7638577,140.7183286,39,
hkd2-1-0,41.7638962,140.7183286,40,
hkd2-1-0,41.7639344,140.7183355,41,
hkd2-1-0,41.7640117,140.7183878,42,
hkd2-1-0,41.7640569,140.7184395,43,
hkd2-1-0,41.7640895,140.7185064,44,
hkd2-1-0,41.764125,140.7186339,45,
hkd2-1-0,41.7642219,140.7189297,46,
hkd2-1-0,41.764346,140.7193125,47,
hkd2-1-0,41.7643911,140.719405,48,
hkd2-1-0,41.7646011,140.7198784,49,
hkd2-1-0,41.7647852,140.7202352,50,
hkd2-1-0,41.7649071,140.7204788,51,
hkd2-1-0,41.7649942,140.7206522,52,
hkd2-1-0,41.7652443,140.7210868,53,
hkd2-1-0,41.7654284,140.7213335,54,
hkd2-1-0,41.7655264,140.7214542,55,
hkd2-1-0,41.7657725,140.7217519,56,
hkd2-1-0,41.7662066,140.7223233,57,
hkd2-1-0,41.7663785,140.7225293,58,
hkd2-1-0,41.7667493,140.7229634,59,
hkd2-1-0,41.7670377,140.7232735,60,
hkd2-1-0,41.7674143,140.7236157,61,
hkd2-1-0,41.7681194,140.7243452,62,
hkd2-1-0,41.7685,140.724699,63,
hkd2-1-0,41.7690416,140.7252105,64,
hkd2-1-0,41.7694095,140.7255735,65,
hkd2-1-0,41.7700739,140.7261516,66,
hkd2-1-0,41.7707872,140.7268035,67,
hkd2-1-0,41.7710097,140.7269962,68,
hkd2-1-0,41.7713415,140.7272358,69,
hkd2-1-0,41.7715602,140.7273897,70,
hkd2-1-0,41.7718237,140.7275379,71,
hkd2-1-0,41.7723401,140.7278564,72,
hkd2-1-0,41.7725984,140.7280174,73,
hkd2-1-0,41.7726744,140.7281086,74,
hkd2-1-0,41.7726764,140.7282185,75,
hkd2-1-0,41.77243,140.728967,76,
hkd2-1-0,41.772256,140.729471,77,
hkd2-1-0,41.771961,140.7303229,78,
hkd2-1-0,41.7716285,140.7312909,79,
hkd2-1-0,41.771132,140.7327211,80,
hkd2-1-0,41.7711487,140.7328555,81,
hkd2-1-0,41.7712561,140.7330161,82,
hkd2-1-0,41.7716761,140.7334238,83,
hkd2-1-0,41.7728859,140.7345571,84,
hkd2-1-0,41.7733742,140.7351888,85,
hkd2-1-0,41.7736947,140.7355462,86,
hkd2-1-0,41.774456,140.7365478,87,
hkd2-1-0,41.775584,140.7379548,88,
hkd2-1-0,41.7758774,140.7383287,89,
hkd2-1-0,41.7766183,140.7392346,90,
hkd2-1-0,41.7772229,140.7399797,91,
hkd2-1-0,41.777627,140.7405108,92,
hkd2-1-0,41.7779327,140.7408686,93,
hkd2-1-0,41.7785957,140.7416818,94,
hkd2-1-0,41.7789221,140.74209,95,
hkd2-1-0,41.7795466,140.7429182,96,
hkd2-1-0,41.7803888,140.7439966,97,
hkd2-1-0,41.7810309,140.7447846,98,
hkd2-1-0,41.7817001,140.7456432,99,
hkd2-1-0,41.7821401,140.7461742,100,
hkd2-1-0,41.7823401,140.7464156,101,
hkd2-1-0,41.7828681,140.7470486,102,
hkd2-1-0,41.7833922,140.7477031,103,
hkd2-1-0,41.7839732,140.7484616,104,
hkd2-1-0,41.7843006,140.7488716,105,
hkd2-1-0,41.784634,140.7492992,106,
hkd2-1-0,41.7851688,140.7499581,107,
hkd2-1-0,41.785758,140.7506802,108,
hkd2-1-0,41.7858282,140.7507342,109,
hkd2-1-0,41.7859291,140.7507952,110,
hkd2-1-0,41.786102,140.7508434,111,
hkd2-1-0,41.786782,140.75102,112,
hkd2-1-0,41.787985,140.751316,113,
hkd2-1-0,41.788617,140.75148,114,
hkd2-1-0,41.789274,140.751639,115,
hkd2-1-0,41.789297,140.751686,116,
hkd2-1-0,41.789285,140.751817,117,
hkd2-1-0,41.789231,140.752354,118,
hkd2-1-0,41.78905,140.75398,119,
hkd2-1-0,41.7889514,140.7550962,120,
hkd2-1-0,41.788878,140.7563527,121,
hkd2-1-0,41.78879,140.7578037,122,
hkd2-1-0,41.78872,140.7587881,123,
hkd2-1-0,41.7886626,140.7593133,124,
hkd2-1-0,41.7886013,140.7596952,125,
hkd2-1-0,41.7885043,140.7605271,126,
hkd2-1-0,41.7883364,140.7616337,127,
hkd2-1-0,41.788199,140.7626736,128,
hkd2-1-0,41.7880863,140.7636263,129,
hkd2-1-0,41.7879901,140.7644089,130,
hkd2-1-0,41.7879432,140.7651608,131,
hkd2-1-0,41.7878556,140.7668019,132,
hkd2-1-0,41.7878438,140.7670376,133,
hkd2-1-0,41.7877861,140.7674849,134,
hkd2-1-0,41.7875393,140.7685412,135,
hkd2-1-0,41.7873646,140.7694049,136,
hkd2-1-0,41.7871538,140.7700366,137,
hkd2-1-0,41.7869294,140.7704916,138,
hkd2-1-0,41.786641,140.771109,139,
hkd2-1-0,41.786435,140.771576,140,
hkd2-1-0,41.78624,140.772001,141,
hkd2-1-0,41.785984,140.772557,142,
hkd2-1-0,41.785713,140.773158,143,
hkd2-1-0,41.785186,140.7742521,144,
hkd2-1-0,41.78486,140.7749334,145,
hkd2-1-0,41.784653,140.775403,146,
hkd2-1-0,41.784446,140.775869,147,
hkd2-1-0,41.784195,140.77652,148,
hkd2-1-0,41.783986,140.777164,149,
hkd2-1-0,41.7838135,140.7777062,150,
hkd2-1-0,41.7836398,140.7782502,151,
hkd2-1-0,41.7833704,140.7789702,152,
hkd2-1-0,41.7830506,140.7796692,153,
hkd2-1-0,41.782646,140.7805659,154,
hkd2-1-0,41.782462,140.7810246,155,
hkd2-1-0,41.782215,140.781701,156,
hkd2-1-0,41.782112,140.781954,157,
hkd2-1-0,41.781889,140.782491,158,
hkd2-1-0,41.7816556,140.78304,159,
hkd2-1-0,41.781353,140.783486,160,
hkd2-1-0,41.781068,140.783917,161,
hkd2-1-0,41.780789,140.784235,162,
hkd2-1-0,41.780482,140.784527,163,
hkd2-1-0,41.780244,140.7848,164,
hkd2-1-0,41.7800129,140.785184,165,
hkd2-1-0,41.7799223,140.7853568,166,
hkd2-1-0,41.7798359,140.7854996,167,
hkd2-1-0,41.779787,140.78567,168,
hkd2-1-0,41.7797147,140.7860479,169,
hkd2-1-0,41.7797093,140.7861749,170,
hkd2-1-0,41.779783,140.7864249,171,
hkd2-1-0,41.7799074,140.7867425,172,
hkd2-1-0,41.7800439,140.7871387,173,
hkd2-1-0,41.7802871,140.7879339,174,
hkd2-1-0,41.7804991,140.7885016,175,
hkd2-1-0,41.780659,140.788861,176,
hkd2-1-0,41.780763,140.789102,177,
hkd2-1-0,41.780892,140.789352,178,
hkd2-1-0,41.781047,140.789729,179,
hkd2-1-0,41.7811016,140.7901218,180,
hkd2-1-0,41.7811484,140.7905976,181,
hkd5-0-1,41.7811484,140.7905976,0,
hkd5-0-1,41.7811016,140.7901218,1,
hkd5-0-1,41.781047,140.789729,2,
hkd5-0-1,41.780892,140.789352,3,
hkd5-0-1,41.780763,140.789102,4,
hkd5-0-1,41.780659,140.788861,5,
hkd5-0-1,41.7804991,140.7885016,6,
hkd5-0-1,41.7802871,140.7879339,7,
hkd5-0-1,41.7800439,140.7871387,8,
hkd5-0-1,41.7799074,140.7867425,9,
hkd5-0-1,41.779783,140.7864249,10,
